,CRSArrTime,DayOfWeek,DayofMonth,Dest,DestUTC,Distance,FlightDate,FltTime,Marketing_Airline_Network,Month,OrgUTC,Origin,Quarter,Tail_Number,TaxiIn,TaxiOut,WheelsOff,WheelsOn,Year,fltID
28,1621.0,6.0,29.0,HNL,2020-03-01 00:35:00+00:00,4502.0,2020-02-29,0 days 09:37:00,DL,2.0,2020-02-29 14:58:00+00:00,ATL,1.0,N821NW,6.0,19.0,1117.0,1529.0,2020.0,90440.0
5,605.0,4.0,6.0,ATL,2020-02-07 10:00:00+00:00,4502.0,2020-02-06,0 days 08:30:00,DL,2.0,2020-02-07 01:30:00+00:00,HNL,1.0,N803NW,6.0,19.0,1649.0,554.0,2020.0,76381.0
188,1625.0,6.0,29.0,CVG,2020-02-29 20:30:00+00:00,373.0,2020-02-29,0 days 01:26:00,DL,2.0,2020-02-29 19:04:00+00:00,ATL,1.0,N839DN,4.0,15.0,1519.0,1626.0,2020.0,91936.0
189,2057.0,6.0,29.0,CVG,2020-03-01 00:48:00+00:00,373.0,2020-02-29,0 days 01:15:00,DL,2.0,2020-02-29 23:33:00+00:00,ATL,1.0,N308DE,4.0,9.0,1942.0,2044.0,2020.0,90278.0
190,2347.0,6.0,29.0,CVG,2020-03-01 03:48:00+00:00,373.0,2020-02-29,0 days 01:25:00,DL,2.0,2020-03-01 02:23:00+00:00,ATL,1.0,N3756,4.0,21.0,2244.0,2344.0,2020.0,92080.0
0,735.0,6.0,1.0,ATL,2020-02-01 11:22:00+00:00,373.0,2020-02-01,0 days 01:24:00,DL,2.0,2020-02-01 09:58:00+00:00,CVG,1.0,N306DQ,6.0,12.0,610.0,716.0,2020.0,49758.0
5,900.0,7.0,2.0,ATL,2020-02-02 12:52:00+00:00,373.0,2020-02-02,0 days 01:37:00,DL,2.0,2020-02-02 11:15:00+00:00,CVG,1.0,N373DA,7.0,22.0,737.0,845.0,2020.0,50175.0
15,2011.0,1.0,3.0,ATL,2020-02-04 00:25:00+00:00,373.0,2020-02-03,0 days 01:23:00,DL,2.0,2020-02-03 23:02:00+00:00,CVG,1.0,N3738B,5.0,8.0,1910.0,2020.0,2020.0,53623.0
207,1245.0,6.0,29.0,SLC,2020-02-29 18:37:00+00:00,1590.0,2020-02-29,0 days 04:08:00,DL,2.0,2020-02-29 14:29:00+00:00,ATL,1.0,N371DN,7.0,25.0,1054.0,1230.0,2020.0,91633.0
208,1429.0,6.0,29.0,SLC,2020-02-29 20:32:00+00:00,1590.0,2020-02-29,0 days 04:14:00,DL,2.0,2020-02-29 16:18:00+00:00,ATL,1.0,N174DZ,7.0,24.0,1242.0,1425.0,2020.0,91023.0
209,1607.0,6.0,29.0,SLC,2020-02-29 21:45:00+00:00,1590.0,2020-02-29,0 days 03:58:00,DL,2.0,2020-02-29 17:47:00+00:00,ATL,1.0,N586NW,6.0,18.0,1405.0,1539.0,2020.0,91248.0
210,1846.0,6.0,29.0,SLC,2020-03-01 00:34:00+00:00,1590.0,2020-02-29,0 days 04:05:00,DL,2.0,2020-02-29 20:29:00+00:00,ATL,1.0,N312DN,9.0,19.0,1648.0,1825.0,2020.0,91365.0
211,1944.0,6.0,29.0,SLC,2020-03-01 01:33:00+00:00,1590.0,2020-02-29,0 days 04:00:00,DL,2.0,2020-02-29 21:33:00+00:00,ATL,1.0,N353DN,7.0,10.0,1743.0,1926.0,2020.0,91493.0
212,2208.0,6.0,29.0,SLC,2020-03-01 03:47:00+00:00,1590.0,2020-02-29,0 days 03:59:00,DL,2.0,2020-02-29 23:48:00+00:00,ATL,1.0,N358DN,7.0,17.0,2005.0,2140.0,2020.0,91276.0
0,1229.0,6.0,1.0,ATL,2020-02-01 16:36:00+00:00,1590.0,2020-02-01,0 days 03:49:00,DL,2.0,2020-02-01 12:47:00+00:00,SLC,1.0,N582NW,4.0,34.0,721.0,1232.0,2020.0,49302.0
1,1405.0,6.0,1.0,ATL,2020-02-01 18:08:00+00:00,1590.0,2020-02-01,0 days 03:52:00,DL,2.0,2020-02-01 14:16:00+00:00,SLC,1.0,N914DU,5.0,29.0,845.0,1403.0,2020.0,48800.0
2,1527.0,6.0,1.0,ATL,2020-02-01 19:37:00+00:00,1590.0,2020-02-01,0 days 03:56:00,DL,2.0,2020-02-01 15:41:00+00:00,SLC,1.0,N553NW,10.0,34.0,1015.0,1527.0,2020.0,49414.0
18,1511.0,1.0,3.0,ATL,2020-02-03 21:35:00+00:00,1590.0,2020-02-03,0 days 05:01:00,DL,2.0,2020-02-03 16:34:00+00:00,SLC,1.0,N354DN,5.0,111.0,1225.0,1730.0,2020.0,54074.0
48,1511.0,5.0,7.0,ATL,2020-02-07 18:48:00+00:00,1590.0,2020-02-07,0 days 03:16:00,DL,2.0,2020-02-07 15:32:00+00:00,SLC,1.0,N332DN,5.0,14.0,946.0,1443.0,2020.0,93941.0
289,1320.0,6.0,29.0,LAX,2020-02-29 20:05:00+00:00,1947.0,2020-02-29,0 days 04:56:00,DL,2.0,2020-02-29 15:09:00+00:00,ATL,1.0,N380DN,9.0,23.0,1132.0,1256.0,2020.0,90805.0
290,1506.0,6.0,29.0,LAX,2020-02-29 21:53:00+00:00,1947.0,2020-02-29,0 days 04:45:00,DL,2.0,2020-02-29 17:08:00+00:00,ATL,1.0,N547US,9.0,12.0,1320.0,1444.0,2020.0,91379.0
291,1718.0,6.0,29.0,LAX,2020-02-29 23:59:00+00:00,1947.0,2020-02-29,0 days 04:47:00,DL,2.0,2020-02-29 19:12:00+00:00,ATL,1.0,N894DN,9.0,18.0,1530.0,1650.0,2020.0,90756.0
292,1952.0,6.0,29.0,LAX,2020-03-01 02:45:00+00:00,1947.0,2020-02-29,0 days 04:47:00,DL,2.0,2020-02-29 21:58:00+00:00,ATL,1.0,N706DN,8.0,20.0,1818.0,1937.0,2020.0,90162.0
293,2350.0,6.0,29.0,LAX,2020-03-01 06:47:00+00:00,1947.0,2020-02-29,0 days 04:47:00,DL,2.0,2020-03-01 02:00:00+00:00,ATL,1.0,N848DN,8.0,18.0,2218.0,2339.0,2020.0,92043.0
0,1324.0,6.0,1.0,ATL,2020-02-01 18:05:00+00:00,1947.0,2020-02-01,0 days 04:55:00,DL,2.0,2020-02-01 13:10:00+00:00,LAX,1.0,N539US,7.0,39.0,649.0,1358.0,2020.0,48365.0
1,1443.0,6.0,1.0,ATL,2020-02-01 19:02:00+00:00,1947.0,2020-02-01,0 days 04:18:00,DL,2.0,2020-02-01 14:44:00+00:00,LAX,1.0,N703DN,5.0,16.0,800.0,1457.0,2020.0,47994.0
2,1557.0,6.0,1.0,ATL,2020-02-01 20:12:00+00:00,1947.0,2020-02-01,0 days 04:29:00,DL,2.0,2020-02-01 15:43:00+00:00,LAX,1.0,N377DN,4.0,15.0,858.0,1608.0,2020.0,49130.0
3,1735.0,6.0,1.0,ATL,2020-02-01 22:13:00+00:00,1947.0,2020-02-01,0 days 04:37:00,DL,2.0,2020-02-01 17:36:00+00:00,LAX,1.0,N889DN,4.0,22.0,1058.0,1809.0,2020.0,48805.0
55,1740.0,4.0,6.0,ATL,2020-02-06 23:31:00+00:00,1947.0,2020-02-06,0 days 04:17:00,DL,2.0,2020-02-06 19:14:00+00:00,LAX,1.0,N367DN,9.0,12.0,1226.0,1922.0,2020.0,77133.0
470,1844.0,6.0,29.0,MCO,2020-02-29 22:52:00+00:00,404.0,2020-02-29,0 days 01:24:00,DL,2.0,2020-02-29 21:28:00+00:00,ATL,1.0,N819DX,8.0,11.0,1739.0,1844.0,2020.0,90365.0
471,1955.0,6.0,29.0,MCO,2020-02-29 23:43:00+00:00,404.0,2020-02-29,0 days 01:25:00,DL,2.0,2020-02-29 22:18:00+00:00,ATL,1.0,N665DN,11.0,17.0,1835.0,1932.0,2020.0,90487.0
472,2106.0,6.0,29.0,MCO,2020-03-01 01:03:00+00:00,404.0,2020-02-29,0 days 01:30:00,DL,2.0,2020-02-29 23:33:00+00:00,ATL,1.0,N552NW,15.0,15.0,1948.0,2048.0,2020.0,91515.0
473,2208.0,6.0,29.0,MCO,2020-03-01 01:56:00+00:00,404.0,2020-02-29,0 days 01:24:00,DL,2.0,2020-03-01 00:32:00+00:00,ATL,1.0,N6715C,13.0,14.0,2046.0,2143.0,2020.0,90698.0
474,2307.0,6.0,29.0,MCO,2020-03-01 03:36:00+00:00,404.0,2020-02-29,0 days 01:20:00,DL,2.0,2020-03-01 02:16:00+00:00,ATL,1.0,N596NW,8.0,14.0,2230.0,2328.0,2020.0,90943.0
475,8.0,6.0,29.0,MCO,2020-03-01 05:22:00+00:00,404.0,2020-02-29,0 days 02:46:00,DL,2.0,2020-03-01 02:36:00+00:00,ATL,1.0,N538US,8.0,39.0,2315.0,14.0,2020.0,91081.0
0,734.0,6.0,1.0,ATL,2020-02-01 11:26:00+00:00,404.0,2020-02-01,0 days 01:30:00,DL,2.0,2020-02-01 09:56:00+00:00,MCO,1.0,N6703D,8.0,20.0,616.0,718.0,2020.0,49594.0
1,857.0,6.0,1.0,ATL,2020-02-01 13:05:00+00:00,404.0,2020-02-01,0 days 01:54:00,DL,2.0,2020-02-01 11:11:00+00:00,MCO,1.0,N556NW,8.0,42.0,753.0,857.0,2020.0,49905.0
