,CRSArrTime,DayOfWeek,DayofMonth,Dest,DestUTC,Distance,FlightDate,FltTime,Marketing_Airline_Network,Month,OrgUTC,Origin,Quarter,Tail_Number,TaxiIn,TaxiOut,WheelsOff,WheelsOn,Year,fltID,dtyRepTmUTC,dtyRelTmUTC
0,1140.0,4.0,27.0,ASE,2020-02-27 17:30:00+00:00,1304.0,2020-02-27,0 days 03:48:00,DL,2.0,2020-02-27 13:42:00+00:00,ATL,1.0,N625CA,3.0,23.0,1005.0,1127.0,2020.0,30824.0,2020-02-27 12:57:00+00:00,2020-02-27 21:23:00+00:00
1,1449.0,4.0,27.0,SUN,2020-02-27 20:38:00+00:00,222.0,2020-02-27,0 days 01:04:00,DL,2.0,2020-02-27 19:34:00+00:00,SLC,1.0,N257SY,2.0,20.0,1354.0,1436.0,2020.0,30410.0,2020-02-27 12:57:00+00:00,2020-02-27 21:23:00+00:00
2,2259.0,4.0,27.0,SUN,2020-02-28 04:45:00+00:00,222.0,2020-02-27,0 days 00:46:00,DL,2.0,2020-02-28 03:59:00+00:00,SLC,1.0,N261SY,2.0,6.0,2205.0,2243.0,2020.0,30655.0,2020-02-28 03:14:00+00:00,2020-02-28 10:09:00+00:00
3,528.0,4.0,27.0,IND,2020-02-28 09:24:00+00:00,1814.0,2020-02-27,0 days 03:48:00,DL,2.0,2020-02-28 05:36:00+00:00,LAX,1.0,N327NB,7.0,11.0,2247.0,517.0,2020.0,122475.0,2020-02-28 03:14:00+00:00,2020-02-28 10:09:00+00:00
4,1513.0,5.0,28.0,CIU,2020-02-28 12:22:00+00:00,284.0,2020-02-28,0 days 01:08:00,DL,2.0,2020-02-28 11:14:00+00:00,DTW,1.0,N430SW,3.0,13.0,727.0,819.0,2020.0,37495.0,2020-02-28 10:29:00+00:00,2020-02-28 18:21:00+00:00
5,1140.0,5.0,28.0,ASE,2020-02-28 17:36:00+00:00,1304.0,2020-02-28,0 days 04:00:00,DL,2.0,2020-02-28 13:36:00+00:00,ATL,1.0,N608SK,3.0,29.0,1005.0,1133.0,2020.0,37005.0,2020-02-28 10:29:00+00:00,2020-02-28 18:21:00+00:00
6,1112.0,5.0,28.0,TUL,2020-02-28 15:47:00+00:00,615.0,2020-02-28,0 days 01:59:00,DL,2.0,2020-02-28 13:48:00+00:00,MSP,1.0,N256SY,4.0,31.0,919.0,1043.0,2020.0,37319.0,2020-02-28 13:03:00+00:00,2020-02-28 18:06:00+00:00
7,1252.0,5.0,28.0,IAH,2020-02-28 17:21:00+00:00,871.0,2020-02-28,0 days 02:25:00,DL,2.0,2020-02-28 14:56:00+00:00,CVG,1.0,N921XJ,5.0,16.0,1112.0,1216.0,2020.0,9666.0,2020-02-28 13:03:00+00:00,2020-02-28 18:06:00+00:00
8,1237.0,5.0,28.0,STL,2020-02-28 17:16:00+00:00,308.0,2020-02-28,0 days 01:09:00,DL,2.0,2020-02-28 16:07:00+00:00,CVG,1.0,N801AY,7.0,10.0,1217.0,1209.0,2020.0,15608.0,2020-02-28 15:22:00+00:00,2020-02-28 21:58:00+00:00
9,1556.0,5.0,28.0,IAD,2020-02-28 21:13:00+00:00,2306.0,2020-02-28,0 days 04:42:00,DL,2.0,2020-02-28 16:31:00+00:00,SEA,1.0,N368NB,5.0,21.0,952.0,1708.0,2020.0,89233.0,2020-02-28 15:22:00+00:00,2020-02-28 21:58:00+00:00
10,1431.0,5.0,28.0,BDL,2020-02-28 18:25:00+00:00,661.0,2020-02-28,0 days 01:44:00,DL,2.0,2020-02-28 16:41:00+00:00,CVG,1.0,N914XJ,4.0,15.0,1256.0,1421.0,2020.0,12896.0,2020-02-28 15:56:00+00:00,2020-02-28 19:00:00+00:00
11,1224.0,5.0,28.0,SUN,2020-02-28 18:15:00+00:00,222.0,2020-02-28,0 days 01:04:00,DL,2.0,2020-02-28 17:11:00+00:00,SLC,1.0,N284SY,2.0,18.0,1129.0,1213.0,2020.0,36817.0,2020-02-28 15:56:00+00:00,2020-02-28 19:00:00+00:00
12,1656.0,5.0,28.0,IND,2020-02-28 21:30:00+00:00,1866.0,2020-02-28,0 days 04:04:00,DL,2.0,2020-02-28 17:26:00+00:00,SEA,1.0,N360NB,9.0,22.0,1048.0,1721.0,2020.0,87616.0,2020-02-28 16:41:00+00:00,2020-02-28 20:14:00+00:00
13,1338.0,5.0,28.0,ASE,2020-02-28 19:29:00+00:00,737.0,2020-02-28,0 days 01:57:00,DL,2.0,2020-02-28 17:32:00+00:00,LAX,1.0,N609SK,3.0,15.0,1047.0,1326.0,2020.0,36641.0,2020-02-28 16:41:00+00:00,2020-02-28 20:14:00+00:00
