,fltID,Year,Quarter,Month,DayofMonth,DayOfWeek,FlightDate,Marketing_Airline_Network,Tail_Number,Origin,Dest,TaxiOut,WheelsOff,WheelsOn,TaxiIn,CRSArrTime,Distance,FltTime,OrgUTC,DestUTC
0,22057,2020,1,2,1,6,2020-02-01,DL,N430SW,APN,PLN,8.0,512,531,6.0,603,69.0,0 days 00:33:00,2020-02-01 09:04:00+00:00,2020-02-01 09:37:00+00:00
1,17067,2020,1,2,1,6,2020-02-01,DL,N166PQ,BDL,RDU,20.0,616,752,6.0,800,532.0,0 days 02:02:00,2020-02-01 09:56:00+00:00,2020-02-01 11:58:00+00:00
2,1487,2020,1,2,1,6,2020-02-01,DL,N678CA,TPA,RDU,9.0,737,852,5.0,924,587.0,0 days 01:29:00,2020-02-01 11:28:00+00:00,2020-02-01 12:57:00+00:00
3,48574,2020,1,2,1,6,2020-02-01,DL,N888DU,RDU,LAS,13.0,812,927,6.0,1031,2026.0,0 days 04:34:00,2020-02-01 11:59:00+00:00,2020-02-01 16:33:00+00:00
4,18602,2020,1,2,1,6,2020-02-01,DL,N166PQ,RDU,TPA,13.0,853,1042,5.0,1044,587.0,0 days 02:07:00,2020-02-01 12:40:00+00:00,2020-02-01 14:47:00+00:00
5,12109,2020,1,2,1,6,2020-02-01,DL,N349PQ,RDU,ORD,11.0,906,949,10.0,1028,646.0,0 days 02:04:00,2020-02-01 12:55:00+00:00,2020-02-01 14:59:00+00:00
6,123443,2020,1,2,1,6,2020-02-01,DL,N617CZ,SAN,LAS,17.0,917,1005,8.0,1025,258.0,0 days 01:13:00,2020-02-01 16:00:00+00:00,2020-02-01 17:13:00+00:00
7,123433,2020,1,2,1,6,2020-02-01,DL,N612CZ,SJC,LAS,10.0,913,1016,15.0,1044,386.0,0 days 01:28:00,2020-02-01 16:03:00+00:00,2020-02-01 17:31:00+00:00
8,12084,2020,1,2,1,6,2020-02-01,DL,N349PQ,ORD,RDU,18.0,1123,1352,7.0,1410,646.0,0 days 01:54:00,2020-02-01 16:05:00+00:00,2020-02-01 17:59:00+00:00
9,21815,2020,1,2,1,6,2020-02-01,DL,N271SY,LAS,LGB,14.0,940,1022,3.0,1040,231.0,0 days 00:59:00,2020-02-01 16:26:00+00:00,2020-02-01 17:25:00+00:00
10,4045,2020,1,2,1,6,2020-02-01,DL,N166PQ,TPA,RDU,16.0,1245,1401,5.0,1419,587.0,0 days 01:37:00,2020-02-01 16:29:00+00:00,2020-02-01 18:06:00+00:00
11,123412,2020,1,2,1,6,2020-02-01,DL,N617CZ,LAS,SAN,16.0,1135,1219,8.0,1241,258.0,0 days 01:08:00,2020-02-01 18:19:00+00:00,2020-02-01 19:27:00+00:00
12,48573,2020,1,2,1,6,2020-02-01,DL,N888DU,LAS,RDU,15.0,1139,1844,7.0,1900,2026.0,0 days 04:27:00,2020-02-01 18:24:00+00:00,2020-02-01 22:51:00+00:00
13,123402,2020,1,2,1,6,2020-02-01,DL,N612CZ,LAS,SJC,16.0,1140,1243,3.0,1311,386.0,0 days 01:22:00,2020-02-01 18:24:00+00:00,2020-02-01 19:46:00+00:00
14,21816,2020,1,2,1,6,2020-02-01,DL,N271SY,LGB,LAS,11.0,1141,1228,7.0,1239,231.0,0 days 01:05:00,2020-02-01 18:30:00+00:00,2020-02-01 19:35:00+00:00
15,14940,2020,1,2,1,6,2020-02-01,DL,N166PQ,RDU,TPA,16.0,1545,1733,2.0,1726,587.0,0 days 02:06:00,2020-02-01 19:29:00+00:00,2020-02-01 21:35:00+00:00
16,21822,2020,1,2,1,6,2020-02-01,DL,N271SY,LAS,LGB,14.0,1327,1408,4.0,1432,231.0,0 days 00:59:00,2020-02-01 20:13:00+00:00,2020-02-01 21:12:00+00:00
17,123413,2020,1,2,1,6,2020-02-01,DL,N616CZ,SJC,LAS,11.0,1502,1603,7.0,1628,386.0,0 days 01:19:00,2020-02-01 21:51:00+00:00,2020-02-01 23:10:00+00:00
18,21823,2020,1,2,1,6,2020-02-01,DL,N271SY,LGB,LAS,11.0,1525,1607,7.0,1623,231.0,0 days 01:00:00,2020-02-01 22:14:00+00:00,2020-02-01 23:14:00+00:00
19,123410,2020,1,2,1,6,2020-02-01,DL,N617CZ,SAN,LAS,16.0,1706,1756,7.0,1633,258.0,0 days 01:13:00,2020-02-01 23:50:00+00:00,2020-02-02 01:03:00+00:00
20,123435,2020,1,2,1,6,2020-02-01,DL,N616CZ,LAS,SJC,15.0,1716,1818,6.0,1849,386.0,0 days 01:23:00,2020-02-02 00:01:00+00:00,2020-02-02 01:24:00+00:00
21,123425,2020,1,2,1,6,2020-02-01,DL,N617CZ,LAS,SAN,14.0,1838,1922,4.0,1825,258.0,0 days 01:02:00,2020-02-02 01:24:00+00:00,2020-02-02 02:26:00+00:00
22,1488,2020,1,2,2,7,2020-02-02,DL,N166PQ,TPA,RDU,13.0,748,921,5.0,926,587.0,0 days 01:51:00,2020-02-02 11:35:00+00:00,2020-02-02 13:26:00+00:00
23,20230,2020,1,2,2,7,2020-02-02,DL,N8836A,PHL,RDU,20.0,810,901,11.0,946,337.0,0 days 01:22:00,2020-02-02 11:50:00+00:00,2020-02-02 13:12:00+00:00
24,5690,2020,1,2,2,7,2020-02-02,DL,N917XJ,JAX,RDU,13.0,851,959,2.0,1009,407.0,0 days 01:23:00,2020-02-02 12:38:00+00:00,2020-02-02 14:01:00+00:00
25,18603,2020,1,2,2,7,2020-02-02,DL,N678CA,RDU,TPA,25.0,920,1042,4.0,1102,587.0,0 days 01:51:00,2020-02-02 12:55:00+00:00,2020-02-02 14:46:00+00:00
26,123514,2020,1,2,2,7,2020-02-02,DL,N617CZ,SAN,LAS,15.0,911,956,10.0,1027,258.0,0 days 01:10:00,2020-02-02 15:56:00+00:00,2020-02-02 17:06:00+00:00
27,123504,2020,1,2,2,7,2020-02-02,DL,N627CZ,SJC,LAS,13.0,910,1009,17.0,1047,386.0,0 days 01:29:00,2020-02-02 15:57:00+00:00,2020-02-02 17:26:00+00:00
28,4046,2020,1,2,2,7,2020-02-02,DL,N678CA,TPA,RDU,18.0,1241,1413,6.0,1422,587.0,0 days 01:56:00,2020-02-02 16:23:00+00:00,2020-02-02 18:19:00+00:00
29,22410,2020,1,2,2,7,2020-02-02,DL,N271SY,LAS,LGB,19.0,1014,1058,3.0,1040,231.0,0 days 01:06:00,2020-02-02 16:55:00+00:00,2020-02-02 18:01:00+00:00
30,123541,2020,1,2,2,7,2020-02-02,DL,N379CA,RDU,ORD,48.0,1410,1503,9.0,1450,646.0,0 days 02:50:00,2020-02-02 17:22:00+00:00,2020-02-02 20:12:00+00:00
31,18564,2020,1,2,2,7,2020-02-02,DL,N306PQ,RDU,JAX,13.0,1439,1537,4.0,1606,407.0,0 days 01:15:00,2020-02-02 18:26:00+00:00,2020-02-02 19:41:00+00:00
32,123487,2020,1,2,2,7,2020-02-02,DL,N627CZ,LAS,SAN,18.0,1144,1232,3.0,1243,258.0,0 days 01:09:00,2020-02-02 18:26:00+00:00,2020-02-02 19:35:00+00:00
33,123473,2020,1,2,2,7,2020-02-02,DL,N617CZ,LAS,SJC,21.0,1147,1254,4.0,1315,386.0,0 days 01:32:00,2020-02-02 18:26:00+00:00,2020-02-02 19:58:00+00:00
34,22411,2020,1,2,2,7,2020-02-02,DL,N271SY,LGB,LAS,19.0,1147,1226,13.0,1240,231.0,0 days 01:11:00,2020-02-02 18:28:00+00:00,2020-02-02 19:39:00+00:00
35,901,2020,1,2,2,7,2020-02-02,DL,N316PQ,RDU,PHL,13.0,1503,1613,8.0,1323,337.0,0 days 01:31:00,2020-02-02 18:50:00+00:00,2020-02-02 20:21:00+00:00
36,14941,2020,1,2,2,7,2020-02-02,DL,N678CA,RDU,TPA,15.0,1545,1708,2.0,1728,587.0,0 days 01:40:00,2020-02-02 19:30:00+00:00,2020-02-02 21:10:00+00:00
37,22416,2020,1,2,2,7,2020-02-02,DL,N271SY,LAS,LGB,13.0,1324,1410,3.0,1433,231.0,0 days 01:02:00,2020-02-02 20:11:00+00:00,2020-02-02 21:13:00+00:00
38,123544,2020,1,2,2,7,2020-02-02,DL,N379CA,ORD,RDU,22.0,1607,1825,11.0,1839,646.0,0 days 01:51:00,2020-02-02 20:45:00+00:00,2020-02-02 22:36:00+00:00
39,4056,2020,1,2,2,7,2020-02-02,DL,N316PQ,PHL,RDU,22.0,1715,1811,4.0,1553,337.0,0 days 01:22:00,2020-02-02 20:53:00+00:00,2020-02-02 22:15:00+00:00
40,123507,2020,1,2,2,7,2020-02-02,DL,N617CZ,SJC,LAS,16.0,1505,1613,7.0,1629,386.0,0 days 01:31:00,2020-02-02 21:49:00+00:00,2020-02-02 23:20:00+00:00
41,11315,2020,1,2,2,7,2020-02-02,DL,N917XJ,RDU,ORD,23.0,1815,1910,6.0,1923,646.0,0 days 02:24:00,2020-02-02 21:52:00+00:00,2020-02-03 00:16:00+00:00
42,22417,2020,1,2,2,7,2020-02-02,DL,N271SY,LGB,LAS,16.0,1521,1608,5.0,1624,231.0,0 days 01:08:00,2020-02-02 22:05:00+00:00,2020-02-02 23:13:00+00:00
43,123482,2020,1,2,2,7,2020-02-02,DL,N627CZ,SAN,LAS,15.0,1522,1615,8.0,1635,258.0,0 days 01:16:00,2020-02-02 22:07:00+00:00,2020-02-02 23:23:00+00:00
44,4783,2020,1,2,2,7,2020-02-02,DL,N832AY,RDU,PHL,54.0,1902,2020,5.0,1832,337.0,0 days 02:17:00,2020-02-02 22:08:00+00:00,2020-02-03 00:25:00+00:00
45,123495,2020,1,2,2,7,2020-02-02,DL,N627CZ,LAS,SAN,42.0,1743,1832,4.0,1826,258.0,0 days 01:35:00,2020-02-03 00:01:00+00:00,2020-02-03 01:36:00+00:00
46,123506,2020,1,2,2,7,2020-02-02,DL,N617CZ,LAS,SJC,17.0,1725,1840,4.0,1851,386.0,0 days 01:36:00,2020-02-03 00:08:00+00:00,2020-02-03 01:44:00+00:00
47,10109,2020,1,2,2,7,2020-02-02,DL,N921XJ,RDU,BDL,13.0,2100,2224,6.0,2240,532.0,0 days 01:43:00,2020-02-03 00:47:00+00:00,2020-02-03 02:30:00+00:00
48,11292,2020,1,2,2,7,2020-02-02,DL,N917XJ,ORD,RDU,20.0,2027,2245,6.0,2306,646.0,0 days 01:44:00,2020-02-03 01:07:00+00:00,2020-02-03 02:51:00+00:00
49,22671,2020,1,2,2,7,2020-02-02,DL,N418SW,PLN,APN,21.0,2226,2255,9.0,2301,69.0,0 days 00:59:00,2020-02-03 02:05:00+00:00,2020-02-03 03:04:00+00:00
50,23698,2020,1,2,3,1,2020-02-03,DL,N418SW,APN,PLN,14.0,514,533,10.0,605,69.0,0 days 00:43:00,2020-02-03 09:00:00+00:00,2020-02-03 09:43:00+00:00
51,11273,2020,1,2,3,1,2020-02-03,DL,N921XJ,BDL,CLE,13.0,554,725,5.0,746,476.0,0 days 01:49:00,2020-02-03 09:41:00+00:00,2020-02-03 11:30:00+00:00
52,8193,2020,1,2,3,1,2020-02-03,DL,N914XJ,CLE,RDU,14.0,601,657,5.0,741,416.0,0 days 01:15:00,2020-02-03 09:47:00+00:00,2020-02-03 11:02:00+00:00
53,19817,2020,1,2,3,1,2020-02-03,DL,N134EV,JAX,RDU,11.0,604,706,4.0,722,407.0,0 days 01:17:00,2020-02-03 09:53:00+00:00,2020-02-03 11:10:00+00:00
54,127164,2020,1,2,3,1,2020-02-03,DL,N867RW,LEX,DCA,9.0,603,659,4.0,738,414.0,0 days 01:09:00,2020-02-03 09:54:00+00:00,2020-02-03 11:03:00+00:00
55,2154,2020,1,2,3,1,2020-02-03,DL,N832AY,PHL,RDU,19.0,614,708,10.0,743,337.0,0 days 01:23:00,2020-02-03 09:55:00+00:00,2020-02-03 11:18:00+00:00
56,4210,2020,1,2,3,1,2020-02-03,DL,N166PQ,RDU,DCA,20.0,615,701,4.0,717,227.0,0 days 01:10:00,2020-02-03 09:55:00+00:00,2020-02-03 11:05:00+00:00
57,1489,2020,1,2,3,1,2020-02-03,DL,N678CA,TPA,RDU,15.0,614,739,2.0,748,587.0,0 days 01:42:00,2020-02-03 09:59:00+00:00,2020-02-03 11:41:00+00:00
58,17068,2020,1,2,3,1,2020-02-03,DL,N538CA,BDL,RDU,12.0,611,735,6.0,802,532.0,0 days 01:42:00,2020-02-03 09:59:00+00:00,2020-02-03 11:41:00+00:00
59,126960,2020,1,2,3,1,2020-02-03,DL,N203JQ,CMH,RDU,8.0,609,702,8.0,735,362.0,0 days 01:09:00,2020-02-03 10:01:00+00:00,2020-02-03 11:10:00+00:00
